what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.context.core,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.context.core",1504281413561
started,bundle,org.eclipse.mylyn.context.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.context.ui",1504281413562
started,bundle,org.eclipse.mylyn.monitor.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.monitor.ui",1504281413563
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.tasks.ui",1504281413564
started,bundle,org.eclipse.mylyn.team.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.team.ui",1504281413565
started,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1504281413566
started,bundle,org.eclipse.team.core,3.5.100.I20100527-0800,"org.eclipse.team.core",1504281413566
started,bundle,org.eclipse.team.cvs.core,3.3.300.I20100526-0800,"org.eclipse.team.cvs.core",1504281413567
started,bundle,org.eclipse.team.cvs.ui,3.3.300.I20100526-0800,"org.eclipse.team.cvs.ui",1504281413568
started,bundle,org.eclipse.team.ui,3.5.100.I20100527-0800,"org.eclipse.team.ui",1504281413569
started,bundle,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui",1504281413570
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1504281413571
started,bundle,org.eclipse.ui.editors,3.6.0.v20100520-0800,"org.eclipse.ui.editors",1504281413572
started,bundle,org.eclipse.ui.forms,3.5.0.v20100427,"org.eclipse.ui.forms",1504281413573
started,bundle,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.ide",1504281413574
started,bundle,org.eclipse.ui.intro,3.4.0.v20100427,"org.eclipse.ui.intro",1504281413574
started,bundle,org.eclipse.ui.intro.universal,3.2.400.v20100517,"org.eclipse.ui.intro.universal",1504281413575
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1504281413575
started,bundle,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views",1504281413576
started,bundle,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"org.eclipse.ui.workbench",1504281413577
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.workbench.texteditor",1504281413578
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1504281413579
started,bundle,org.eclipse.update.core,3.2.400.v20100512,"org.eclipse.update.core",1504281413586
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1504281413587
os,sysinfo,,,"win32",1504281413597
arch,sysinfo,,,"x86",1504281413597
ws,sysinfo,,,"win32",1504281413597
locale,sysinfo,,,"en_US",1504281413597
processors,sysinfo,,,"2",1504281413597
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1504281413597
java.runtime.version,sysinfo,,,"1.8.0_121-b13",1504281413597
java.specification.name,sysinfo,,,"Java Platform API Specification",1504281413597
java.specification.vendor,sysinfo,,,"Oracle Corporation",1504281413597
java.specification.version,sysinfo,,,"1.8",1504281413597
java.vendor,sysinfo,,,"Oracle Corporation",1504281413597
java.version,sysinfo,,,"1.8.0_121",1504281413597
java.vm.info,sysinfo,,,"mixed mode",1504281413597
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1504281413597
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1504281413597
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1504281413597
java.vm.specification.version,sysinfo,,,"1.8",1504281413597
java.vm.vendor,sysinfo,,,"Oracle Corporation",1504281413597
java.vm.version,sysinfo,,,"25.121-b13",1504281413597
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1504281415846
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1504281415865
closed,view,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.internal.introview",1504281415887
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1504281424704
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1504281509253
started,bundle,org.eclipse.debug.core,3.6.0.v20100519,"org.eclipse.debug.core",1504281528534
started,bundle,org.eclipse.jdt.launching,3.5.100.v20100526,"org.eclipse.jdt.launching",1504281528555
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1504281530001
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1504281552514
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1504281558977
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1504281565083
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1504281775327
